name;fujichrome-astia-100f-daylight-dehancer-colorchecker
description;fitted LUT style from fujichrome-astia-100f-daylight-dehancer-colorchecker.pfm
num_gray;8
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
WBP1;80.39739990234375;0.85359811782836914;-0.24597644805908203;88.018585205078125;-6.7403316497802734;-2.9461383819580078
WBP2;81.478485107421875;-1.2506842613220215;-1.0048866271972656;89.044525146484375;-9.0153512954711914;-4.7409296035766602
WBP3;81.071365356445312;-2.4334490299224854;-2.4767518043518066;88.506324768066406;-9.3083677291870117;-5.3448915481567383
WBP4;81.010162353515625;-4.1682424545288086;-2.7100443840026855;88.768867492675781;-11.147290229797363;-6.1403036117553711
WBP5;81.444061279296875;-6.1018762588500977;-4.3468832969665527;89.571632385253906;-12.967527389526367;-7.5454831123352051
WBL1;80.357414245605469;4.6311616897583008;0.51026344299316406;87.820350646972656;-3.4941732883453369;-2.4000287055969238
WBL2;80.886734008789062;4.2396488189697266;-0.11121034622192383;88.394279479980469;-3.724217414855957;-3.0545830726623535
WBL3;80.662437438964844;0.85520744323730469;-0.27682781219482422;88.262664794921875;-6.7517461776733398;-3.6852002143859863
WBL4;80.9986572265625;-1.1971592903137207;-2.6351690292358398;88.6124267578125;-8.9190301895141602;-5.2458405494689941
WBL5;80.930732727050781;-2.2566914558410645;-5.7221889495849609;88.8670654296875;-10.137737274169922;-8.2975864410400391
SAT1;55.59814453125;51.231056213378906;35.290534973144531;58.10028076171875;44.249862670898438;32.558822631835938
SAT2;73.600090026855469;32.343654632568359;71.352867126464844;74.929443359375;31.052410125732422;56.496654510498047
SAT3;84.243858337402344;1.2948215007781982;83.623580932617188;85.267501831054688;7.6693592071533203;63.849735260009766
SAT4;64.03167724609375;-53.380668640136719;27.60108757019043;69.801216125488281;-49.20074462890625;17.479526519775391
SAT5;61.607658386230469;-24.73956298828125;-32.790004730224609;72.265296936035156;-31.423627853393555;-29.227579116821289
SAT6;50.981544494628906;1.4418959617614746;-52.849399566650391;61.706710815429688;-10.709524154663086;-41.885269165039062
SAT7;52.875350952148438;32.328815460205078;-29.750179290771484;61.323921203613281;18.292844772338867;-21.029603958129883
SAT8;55.584991455078125;51.370502471923828;0.3384709358215332;61.395263671875;38.339702606201172;4.5940518379211426
A1;35.265033721923828;14.931246757507324;18.230682373046875;35.268569946289062;13.817861557006836;17.294811248779297
B1;64.114532470703125;33.947437286376953;67.176284790039062;65.166069030761719;34.603862762451172;55.103439331054688
C1;22.881031036376953;28.503789901733398;-59.309516906738281;27.933975219726562;14.388381958007812;-41.988533020019531
D1;88.621467590332031;0.0044107437133789062;1.078951358795166;96.219955444335938;-7.2566566467285156;-2.897036075592041
A2;67.16510009765625;17.001033782958984;14.761650085449219;73.548271179199219;10.710358619689941;11.17699146270752
B2;35.4888916015625;21.279186248779297;-55.437206268310547;42.645698547363281;8.085906982421875;-40.708805084228516
C2;53.290184020996094;-48.702686309814453;33.020599365234375;57.10589599609375;-43.078601837158203;23.06932258605957
D2;79.279228210449219;-0.012338161468505859;0.029861927032470703;87.036796569824219;-7.0930719375610352;-3.0178308486938477
A3;46.901279449462891;-3.2417476177215576;-27.419948577880859;54.600669860839844;-11.020988464355469;-22.381137847900391
B3;53.609565734863281;48.285663604736328;23.866289138793945;56.971359252929688;40.370704650878906;23.618209838867188
C3;44.626468658447266;46.243011474609375;36.188083648681641;45.115268707275391;41.984916687011719;34.159469604492188
D3;66.992225646972656;0.0013411045074462891;-0.00060796737670898438;74.858467102050781;-6.4043402671813965;-2.2237896919250488
A4;39.259685516357422;-15.526652336120605;24.771858215332031;40.175277709960938;-12.77357292175293;19.245641708374023
B4;25.0457763671875;24.263263702392578;-20.260583877563477;26.13037109375;15.577480316162109;-12.390810012817383
C4;80.630455017089844;0.63073635101318359;80.596946716308594;81.664100646972656;7.0170164108276367;61.584426879882812
D4;48.547225952148438;1.1592507362365723;-0.1795649528503418;53.890487670898438;-3.2877922058105469;-0.52601099014282227
A5;55.094390869140625;10.462612152099609;-26.15046501159668;63.85321044921875;-0.33497810363769531;-20.600330352783203
B5;72.1766357421875;-27.357667922973633;60.71478271484375;74.776580810546875;-20.2738037109375;44.927299499511719
C5;54.087730407714844;47.463088989257812;-10.594331741333008;60.704582214355469;33.75885009765625;-4.8984289169311523
D5;30.016490936279297;1.1708438396453857;-2.6840627193450928;30.682403564453125;-1.5667080879211426;-1.068580150604248
A6;70.499000549316406;-31.468986511230469;-5.1581859588623047;78.822074890136719;-35.422801971435547;-9.1300849914550781
B6;72.680191040039062;18.238962173461914;75.614219665527344;73.81591796875;21.958320617675781;59.489051818847656
C6;50.340156555175781;-16.931175231933594;-34.847579956054688;59.917579650878906;-23.864538192749023;-28.705608367919922
D6;11.829523086547852;1.575298547744751;-1.8075108528137207;10.024585723876953;-0.34014880657196045;1.249927282333374
NEU1;11.228046417236328;1.5774891376495361;-1.7912387847900391;9.3650588989257812;-0.35747885704040527;1.3224810361862183
NEU2;13.775596618652344;1.8285065889358521;-3.0211210250854492;12.397354125976562;-0.12579560279846191;0.0086367130279541016
NEU3;17.688014984130859;1.1238306760787964;-2.6424765586853027;16.44964599609375;-0.36935508251190186;-1.0068237781524658
NEU4;20.86163330078125;0.35268068313598633;-1.2706935405731201;19.744014739990234;-1.2855678796768188;0.2333521842956543
NEU5;74.793998718261719;0.055253505706787109;-0.015985965728759766;82.358741760253906;-6.7605972290039062;-2.9414892196655273
NEU6;80.638076782226562;0.00041723251342773438;-0.0003814697265625;88.28619384765625;-7.362663745880127;-2.9739022254943848
NEU7;85.860511779785156;0.0010132789611816406;-0.0025868415832519531;93.648582458496094;-7.8440608978271484;-3.7895917892456055
NEU8;90.19140625;0.085562467575073242;1.1066436767578125;98.120559692382812;-7.9492034912109375;-2.808678150177002
